Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,228981,-,-,-,46.61,-120.5,-8,354,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,0,30,0,0,0,1.6,-5,155.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,1,30,0,0,0,1.8,-5,150.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,2,30,0,0,0,1.9000000000000001,-6,142.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,3,30,0,0,0,2.1,-6,132.89000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,4,30,0,0,0,2.5,-6,122.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,5,30,0,0,0,2.9000000000000004,-6,112.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,6,30,0,0,0,3.3000000000000003,-5,102.49000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1,1,7,30,0,0,0,3.9000000000000004,-5,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
